"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Patient attendances","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","546863","540541","437656","151322","122189","31303","21130","3289","","","1854293"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Group psychotherapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","21149","8880","2022","673","159","1429","248","30","","","34590"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Interview with non-patient","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","32978","20109","28624","4126","6738","457","696","203","","","93937"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Case conferencing","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","7009","3455","3789","782","306","32","219","22","","","15616"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","8416","9521","10274","4149","1592","718","496","0","","","35166"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","107","61","101","np","22","0","np","np","","","302"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Eating Disorders Treatment Plan","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","95","23","106","19","117","0","0","0","","","360"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Telehealth consultations","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","116337","107086","89080","17771","23864","9809","2781","1644","","","368399"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Total psychiatrist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","768906","720006","598122","193607","160583","45629","27522","5504","","","2520031"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP Mental Health Treatment Plan (accredited)","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","371049","339343","262926","111931","77835","22946","19015","5892","","","1211004"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP Mental Health Treatment Plan (non-accredited)","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","64717","47488","39213","23578","17026","5659","2672","1386","","","201755"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP Mental Health Treatment - other","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","706215","666360","479664","213414","141923","38166","29615","11302","","","2286760"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP Eating Disorders Treatment Plan","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","2705","2711","1741","980","440","184","172","27","","","8960"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Focussed psychological strategies","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","11669","12930","7177","2172","np","np","419","np","","","36390"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Family group therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","3406","3593","1239","80","np","np","86","np","","","8869"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","9780","10673","11126","4059","1871","804","519","0","","","38832"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Telehealth consultations","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","89622","110601","55900","24168","17846","7822","3984","796","","","310746"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Total GP mental health specific services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","1169541","1083099","803086","356214","241092","68207","52497","18648","","","3792570"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Psychological Therapy services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","716300","696574","486109","300625","216095","74013","47013","5891","","","2542734"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Eating Disorders Psychological Treatment","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","6792","6661","3690","2953","1349","485","324","55","","","22309"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Telehealth consultations","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","107431","120277","66107","28834","27959","11497","6003","772","","","368889"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Total clinical psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","723092","703235","489799","303578","217444","74498","47337","5946","","","2565043"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Focussed psychological strategies - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","941820","912712","675029","240664","121281","42461","40650","8931","","","2983777"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Focussed Psychological Strategies- bushfire affected people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","3575","932","128","np","203","np","np","7","","","5159"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Enhanced primary care - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","11955","11933","8195","3146","1134","564","351","170","","","37449"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","2538","6607","2212","1434","742","135","120","22","","","13810"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","","MBS subsidised mental health services","Other psychologist services","Allied health service for Indigenous Australians","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","285","53","460","np","98","np","np","153","","","1163"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Eating Disorders Psychological Treatment","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","4015","3054","2435","716","482","146","98","32","","","10979"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Telehealth consultations","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","111296","123563","74985","22042","12862","6139","4561","997","","","356454"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Total other psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","964188","935291","688460","246054","123941","43338","41521","9315","","","3052337"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Focussed psychological strategies - occupational therapist","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","19863","14970","10885","8631","5526","1311","283","34","","","61506"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Focussed psychological strategies - social worker","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","86355","144733","77402","27167","43579","9967","2859","519","","","392593"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Enhanced Primary Care - mental health worker","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","1971","2868","1666","604","486","75","38","219","","","7927"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","","MBS subsidised mental health services","Other allied health services","Allied health service for Indigenous Australians- mental health worker","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","81","np","41","np","np","0","0","11","","","197"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Eating Disorders Services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","4263","np","3602","np","np","158","219","28","","","14444"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Telehealth consultations","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","12392","22045","9579","4071","4923","1946","366","71","","","55393"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Total other allied health services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","112533","166915","93596","37678","50209","11511","3398","812","","","476667"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","94.6","108.3","116.6","73.4","91.3","85.0","64.4","22.5","","","98.7"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","143.9","162.8","156.5","135.0","137.0","127.0","122.8","76.2","","","148.6"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","89.0","105.7","95.5","115.0","123.6","138.7","110.8","24.3","","","100.5"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","118.6","140.6","134.2","93.2","70.5","80.7","97.1","38.1","","","119.6"
"13A.10","2019-20","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","13.8","25.1","18.2","14.3","28.5","21.4","8.0","3.3","","","18.7"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Initial consultations new patient","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","49692","37777","31653","14288","7476","2442","2096","450","","","145929"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Patient attendances","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","604111","616716","475375","159941","138967","36146","20837","3436","","","2055612"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Group psychotherapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","23652","9744","2063","338","206","1660","321","57","","","38043"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Interview with non-patient","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","33409","19229","25468","3333","6324","466","593","143","","","88970"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Case conferencing","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","6591","4500","3076","549","355","25","204","40","","","15340"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Telepsychiatry","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","28858","10081","21743","1662","3960","5206","332","1067","","","72924"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","8371","9381","10675","5439","1661","791","298","60","","","36676"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","89","53","139","np","24","0","np","np","","","316"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Total psychiatrist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","754774","707480","570193","185587","158973","46736","24689","5258","","","2453810"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP Mental Health Treatment Plan (accredited)","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","362340","324302","250995","103771","73485","21544","18430","5247","","","1160169"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP Mental Health Treatment Plan (non-accredited)","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","69445","51663","42262","23097","17197","5920","2829","1523","","","213957"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP Mental Health Treatment - other","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","722743","653347","477990","209412","139600","36023","29723","11363","","","2280313"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Focussed psychological strategies","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","11366","10495","6116","1963","1286","342","229","52","","","31856"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Family group therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","4203","3752","1559","91","572","31","146","12","","","10366"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","10490","10616","10944","5084","1836","838","388","64","","","40259"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Total GP mental health specific services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","1180588","1054175","789866","343417","233976","64698","51744","18261","","","3736920"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Total clinical psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","681471","662747","464175","287372","206387","71392","44023","5252","","","2422896"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Focussed psychological strategies - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","930625","915793","675476","230349","130969","42519","44072","8657","","","2978616"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Enhanced primary care - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","12068","11687","8022","2541","1181","591","359","110","","","36563"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","2877","8155","2633","1414","987","80","179","51","","","16378"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Total other psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","945910","935745","686713","234341","133169","43210","44615","8893","","","3032756"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Focussed psychological strategies - occupational therapist","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","23341","18554","13273","9061","6361","1420","285","117","","","72412"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Focussed psychological strategies - social worker","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","83353","139778","76323","28055","39950","6876","2991","627","","","377963"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Enhanced Primary Care - mental health worker","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","2212","np","1405","774","np","np","19","14","","","8663"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Total other allied health services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","108925","161859","91043","37971","46949","8392","3295","788","","","459232"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","93.8","108.4","112.8","71.2","91.2","87.9","58.3","21.4","","","97.4"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","146.7","161.5","156.3","131.8","134.3","121.7","122.1","74.3","","","148.4"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","84.7","101.5","91.9","110.3","118.4","134.3","103.9","21.4","","","96.2"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","117.6","143.4","135.9","89.9","76.4","81.3","105.3","36.2","","","120.4"
"13A.10","2018-19","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","13.5","24.8","18.0","14.6","26.9","15.8","7.8","3.2","","","18.2"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Initial consultations new patient","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","48990","37567","30038","12456","7441","2626","1759","301","","","141196"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Patient attendances","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","604625","622340","476267","150310","142202","41195","18318","2621","","","2057973"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Group psychotherapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","24669","10292","2037","349","325","1788","379","43","","","39882"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Interview with non-patient","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","30294","17056","21808","1909","5084","598","532","52","","","77336"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Case conferencing","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","6615","4086","2465","np","250","27","155","np","","","13752"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Telepsychiatry","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","22629","7063","17855","1361","2847","3323","229","854","","","56181"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","8366","9407","10584","3659","2109","889","417","59","","","35489"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","94","49","175","np","32","0","np","0","","","357"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Total psychiatrist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","746282","707860","561229","170190","160290","50446","21804","3943","","","2422166"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP mental health care","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","1128050","1000483","739643","324943","222347","62467","49414","17136","","","3544697"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Focussed psychological strategies","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","10966","10247","6611","1736","1430","642","385","75","","","32093"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Family group therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","4535","3828","1333","51","604","46","100","13","","","10510"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","9955","9679","10818","3906","1893","1013","377","51","","","37692"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Total GP mental health specific services","","","","","Derived from AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","1153506","1024237","758405","330636","226274","64168","50276","17275","","","3624992"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Total clinical psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","650761","632058","434856","264776","200377","71113","43405","5266","","","2302682"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Focussed psychological strategies - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","901280","885735","634773","215090","125500","42903","41381","8183","","","2855039"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Enhanced primary care - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","11201","10088","7287","1916","1122","558","396","135","","","32707"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","3041","9033","2404","1204","875","139","164","51","","","16911"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Total other psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","915937","904918","645123","218236","127506","43614","41949","8464","","","2905947"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Focussed psychological strategies - occupational therapist","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","25329","19369","13042","8182","5296","1282","316","149","","","72966"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Focussed psychological strategies - social worker","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","75364","129012","68014","23518","32265","4148","2589","642","","","335559"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Enhanced Primary Care - mental health worker","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","2273","2606","1317","1229","804","np","9","np","","","8322"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Total other allied health services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","103006","150994","82413","33015","38371","5511","2914","800","","","417032"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","94.3","110.8","113.0","65.8","92.8","96.1","52.4","16.0","","","97.8"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","145.7","160.4","152.7","127.9","130.9","122.3","120.9","70.0","","","146.3"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","82.2","99.0","87.6","102.4","116.0","135.5","104.4","21.3","","","93.0"
